oxy,D_Rc,Ta,area,speed,e,angle,saturation,cell_img,Ca,sat_norm,D
0,0.024234927,0.090363729,67.5514,0.004666667,1.426786133,90.0,-0.048119902,"[[55 52 58 ... 56 52 55]
 [57 47 55 ... 56 52 56]
 [50 49 60 ... 59 57 55]
 ...
 [28 29 32 ... 55 57 55]
 [28 29 32 ... 53 49 46]
 [29 32 34 ... 49 53 53]]",2.68e-05,-0.002027459,0.0013377032748396037
0,0.006068709,0.000576836,45.5504,0.004526667,1.171622761,45.0,0.01799268,"[[87 89 83 ... 90 90 84]
 [89 92 89 ... 80 89 90]
 [81 89 81 ... 85 83 84]
 ...
 [88 83 83 ... 87 86 86]
 [88 89 86 ... 90 80 89]
 [89 85 92 ... 89 82 85]]",2.6e-05,0.076022381,1.2663686817239802e-05
0,0.000281714,0.025129671,53.3904,0.004264615,1.268449817,90.0,-0.044304524,"[[86 89 89 ... 79 84 88]
 [85 81 89 ... 88 80 83]
 [91 95 92 ... 82 87 91]
 ...
 [91 85 78 ... 85 87 83]
 [86 80 84 ... 86 77 80]
 [89 85 87 ... 85 79 89]]",2.45e-05,0.002476822,0.0004706777061044682
0,0.009185286,0.109104039,50.96,0.004678333,1.239242823,45.0,-0.074683742,"[[89 89 89 ... 93 88 86]
 [85 97 92 ... 87 86 90]
 [85 88 94 ... 87 90 89]
 ...
 [92 91 86 ... 88 92 89]
 [90 87 83 ... 86 86 84]
 [90 87 94 ... 89 88 83]]",2.69e-05,-0.033387654,0.002140974077708006
0,0.002030463,0.034597149,52.822,0.004736667,1.261679722,90.0,-0.081799393,"[[90 83 81 ... 85 91 87]
 [89 82 90 ... 81 79 90]
 [85 76 83 ... 87 86 85]
 ...
 [86 83 86 ... 85 75 82]
 [90 88 81 ... 88 90 95]
 [85 83 84 ... 86 84 86]]",2.72e-05,-0.041788103,0.000654976127371171
0,0.073142959,0.253628724,50.4308,0.005082,1.2327915,81.25383759,-0.052032463,"[[92 93 91 ... 84 85 86]
 [84 89 86 ... 80 89 79]
 [80 86 81 ... 80 81 83]
 ...
 [92 79 87 ... 85 81 87]
 [87 92 84 ... 86 82 82]
 [87 79 78 ... 78 80 84]]",2.92e-05,-0.006646471,0.005029242526392602
0,0.002456178,0.009389728,56.8057,0.005065455,1.308391339,90.0,-0.141264145,"[[52 51 49 ... 49 52 47]
 [57 56 55 ... 53 52 57]
 [50 54 49 ... 56 52 50]
 ...
 [55 44 47 ... 52 57 49]
 [56 58 50 ... 50 55 51]
 [56 48 53 ... 56 51 48]]",2.91e-05,-0.111989784,0.00016529552492091463
0,0.127512545,0.245879523,63.6118,0.005376,1.384556061,59.03623962,-0.070525316,"[[52 51 49 ... 52 55 55]
 [54 55 46 ... 54 48 52]
 [55 52 56 ... 50 52 53]
 ...
 [57 47 56 ... 54 57 56]
 [56 50 53 ... 50 51 49]
 [51 49 49 ... 53 53 52]]",3.09e-05,-0.028478384,0.0038653130865657
0,0.018624318,0.042269818,48.9216,0.0035875,1.214205033,59.74356461,-0.03117543,"[[54 50 50 ... 55 48 53]
 [53 50 50 ... 49 52 55]
 [49 54 57 ... 56 55 49]
 ...
 [53 50 53 ... 50 54 49]
 [54 52 55 ... 52 54 50]
 [51 48 49 ... 48 53 54]]",2.06e-05,0.017976499,0.00086403179781528
0,0.052527802,0.262533149,55.566,0.004984,1.294035736,35.53767776,-0.056558966,"[[88 87 87 ... 77 89 84]
 [86 92 87 ... 91 85 87]
 [89 86 86 ... 81 80 87]
 ...
 [86 84 79 ... 80 91 83]
 [81 88 85 ... 89 86 84]
 [86 92 88 ... 81 79 82]]",2.87e-05,-0.011990277,0.0047247084368138795
0,0.005557778,0.00855167,59.584,0.004608333,1.340005343,72.64597321,-0.028759628,"[[50 47 56 ... 51 51 51]
 [51 54 54 ... 49 54 46]
 [57 52 52 ... 60 54 54]
 ...
 [47 54 53 ... 51 51 48]
 [55 53 56 ... 48 54 49]
 [52 48 55 ... 48 47 51]]",2.65e-05,0.020828497,0.00014352292561761547
0,0.009186895,0.005935296,50.6366,0.004243077,1.235304352,27.64597321,0.063089506,"[[86 88 82 ... 86 86 87]
 [88 82 82 ... 87 87 82]
 [85 88 87 ... 87 82 76]
 ...
 [91 86 86 ... 89 89 89]
 [81 86 87 ... 89 85 80]
 [81 80 87 ... 76 89 84]]",2.44e-05,0.129261869,0.0001172135569923731
